Measure,Geography named,Scope,Change,Status,Evidence,Date
Device prices,Emerging markets,region,+50%,measured,industry_body,2026-06-23
"Device prices, 2026 projection",Nigeria,country,+30%,projection,trade_reporting,2026-06-03
"Average selling price, 2026",Global,global,+27.6%,projection,industry_body,2026-09-05
Device prices,Middle East & Africa,region,+18%,measured,industry_body,2026-09-05
"Telecoms average selling price, H1 2026",South Africa,country,+9.8%,measured,unclear,2026-09-01
"Shipments, Q2 2026",Sub-$100 segment,region,-34%,measured,trade_reporting,2026-08-20
"Shipments, 2026 forecast",Africa,region,-26%,forecast,industry_body,2026-08-20
"Shipment outlook, 2026",Africa,region,-25%,forecast,trade_reporting,2026-02-28
"Smartphone market growth, Q1 2026",South Africa,country,+17%,measured,industry_body,2026-05-27
"Shipments, Q2 2026",Africa,region,-7%,measured,trade_reporting,2026-08-25
