Country,Economically exposed share of tasks,High-exposure share (level 3)
South Africa,51.0%,11.8%
Tunisia,49.3%,5.3%
"Egypt, Arab Rep.",46.3%,7.8%
Morocco,44.2%,5.9%
Algeria,43.3%,5.4%
Kenya,37.0%,4.0%
Nigeria,33.3%,2.8%
Libya,33.0%,1.8%
Senegal,32.5%,1.4%
Zimbabwe,31.3%,1.5%
Rwanda,30.1%,1.1%
Cote d'Ivoire,29.5%,1.9%
Angola,29.2%,1.9%
Ghana,28.7%,1.8%
Zambia,26.8%,1.5%
Benin,24.6%,0.7%
Cameroon,24.5%,1.2%
Tanzania,23.8%,1.1%
Ethiopia,22.1%,0.9%
Togo,21.7%,0.8%
Uganda,21.4%,1.0%
Mozambique,20.1%,0.9%
"Congo, Rep.",19.7%,0.7%
Sudan,17.8%,1.0%
Madagascar,17.5%,0.9%
Malawi,16.7%,0.4%
Burkina Faso,14.3%,0.4%
Mali,14.0%,0.5%
"Somalia, Fed. Rep.",13.7%,0.4%
Guinea,13.6%,0.3%
Sierra Leone,11.9%,0.4%
"Congo, Dem. Rep.",10.8%,0.4%
Niger,9.9%,0.4%
Chad,9.9%,0.3%
Burundi,9.4%,0.2%
South Sudan,3.3%,0.1%
