Country,Exposure index (0-1)
Mauritius,0.289
Somalia,0.259
Egypt,0.254
Eswatini,0.244
Niger,0.241
Côte d'Ivoire,0.240
Tunisia,0.236
Togo,0.235
Gambia,0.234
Sao Tome and Principe,0.230
Botswana,0.228
Guinea,0.227
Benin,0.227
Malawi,0.223
Ghana,0.220
Cabo Verde,0.220
Sudan,0.213
Angola,0.206
Sierra Leone,0.205
Mali,0.200
Kenya,0.199
Burkina Faso,0.198
"Congo, Democratic Republic of the",0.197
Zimbabwe,0.192
Zambia,0.187
Rwanda,0.186
Guinea-Bissau,0.179
Ethiopia,0.177
Lesotho,0.175
"Tanzania, United Republic of",0.173
Madagascar,0.166
Mozambique,0.162
Burundi,0.144
