project,country,sponsors,capacity_mw,capex_usd,capex_local,committed_capital_lower_bound_usd,investment_target_usd,status,announced,online,status_detail,notes,source,url
"Vodafone, Elsewedy and Cassava data centre",Egypt,"Vodafone, Elsewedy, Cassava Technologies",,1000000000,,,,announced,2026-09-08,,,"Capacity undisclosed, so the MW field is left empty rather than estimated.",TechAfrica News,https://techafricanews.com/2026/09/08/egypt-vodafone-elsewedy-cassava-1bn-data-centre/
Nairobi Two (NBO2),Kenya,Digital Realty (iColo),6.4,,,,,operational,2026-09-07,2026-09-07,,Opened this week; iColo sites rebranded to Digital Realty across Kenya and Mozambique.,TechAfrica News,https://techafricanews.com/2026/09/07/digital-realty-opens-6-4mw-nairobi-two-data-center-east-africa/
Heka Data AI hub,Egypt,"Heka Data, US consortium",,,,,,exploring,2026-09-04,,,"Exploratory; recorded so the pipeline is visible, not counted as capacity.",TechAfrica News,https://techafricanews.com/2026/09/04/egypt-explores-major-data-centre-ai-hub-project-heka-data-us-consortium/
Cybastion AI hub,Cameroon,Cybastion,,75000000,,,,announced,2026-09-02,,,Anchors a national AI hub programme.,FurtherAfrica,https://furtherafrica.com/2026/09/02/cybastion-cameroon-investment-anchors-a-75m-ai-hub/
NSIA AI data centre,Nigeria,Nigeria Sovereign Investment Authority,100,,,,,announced,2026-09-01,,,Sovereign wealth vehicle entering AI capacity directly.,BusinessDay,https://businessday.ng/technology/article/nsia-bets-on-100mw-ai-data-centre-to-power-nigerias-digital-economy/
Wiocc capital raise,Pan-African (connectivity),"Wiocc, Saudi and African backers",,300000000,,,,funding,2026-09-01,,,"Cable and connectivity capital, recorded separately from data centre capacity.",TechCentral,https://techcentral.co.za/wiocc-300-million-afc-vision-invest/285628/
MTN AI-ready data centres,Nigeria; South Africa,"MTN, Al Ashram (UAE)",150,,,,,announced,2026-08-26,,,"About 150 MW is the reported initial capacity across Nigeria and South Africa; the national split is not published, so it is not assigned to either country.",Nairametrics,https://nairametrics.com/2026/08/26/mtn-to-develop-150mw-ai-data-centres-in-nigeria-south-africa-with-uae-backed-investor/
Huawei AI data centre bid,Egypt,Huawei,,,,,,exploring,2026-08-26,,,"Reported to have prompted a US counteroffer; geopolitically significant, commercially uncommitted.",Bloomberg,https://www.bloomberg.com/news/articles/2026-08-26/huawei-courts-egypt-ai-chips-in-test-of-us-tech-diplomacy
Cassava AI Factory,South Africa,"Cassava Technologies, NVIDIA",,700000000,,,,operational,2026-08-26,2026-08-26,,"Ranked 36th on the TOP500 supercomputer list; 12,000-GPU buildout reported at US$700m.",TechAfrica News,https://techafricanews.com/2026/08/26/cassava-ai-factory-ranks-36th-top500/
Mombasa AI data centre,Kenya,Amaco (Greece),,,KES 194bn,,,announced,2026-08-17,,,"Reported in shillings; not converted here, because the exchange rate on the day of reporting is part of the record. The shilling figure covers the smart power system intended to energise the data centre, with GE Vernova supplying gas turbines, not the data centre's entire capital cost. Reported in shillings; not converted here.",The Standard (Kenya),https://www.standardmedia.co.ke/business/business/article/2001557829/greeks-amaco-partners-with-us-firm-for-planned-kenya-data-centre
Nigeria cloud and AI investment target,Nigeria,Federal Government of Nigeria,,,,,750000000,policy_target,2026-08-17,,"Government mobilization target, not committed capital or project capex.","The National Digital Cloud Policy sets a government ambition to mobilise US$250 million in private investment in 12 months and US$750 million within 24 months. These are targets, not committed spend or installed capacity.","Federal Ministry of Communications, Innovation & Digital Economy",https://fmcide.gov.ng/federal-government-unveils-national-digital-cloud-policy-to-drive-investment-digital-sovereignty-and-government-transformation/
Project BRIDGE fibre programme,Nigeria,Federal Government of Nigeria,,,,,,under_construction,2026-08-10,,,"90,000 km of new fibre in execution phase; connectivity, counted separately from compute.",TechAfrica News,https://techafricanews.com/2026/08/10/project-bridge-enters-execution-phase-with-bridge-oa-incorporation/
Airtel Kenya data centre,Kenya,Airtel Africa,,150000000,,,,under_construction,2026-08-07,2027-07,,Target moved to July 2027.,TechAfrica News,https://techafricanews.com/2026/08/07/airtels-150m-kenya-data-centre-now-targets-july-2027-launch/
Hassan Allam data centres (first phase),Egypt,Hassan Allam,,400000000,,,,approved,2026-08-05,,,Licensed with a stated first-phase investment.,Data Center Knowledge,https://www.datacenterknowledge.com/data-center-construction/new-data-center-developments-august-2026
Equinix Cape Town campus,South Africa,Equinix,,,,,,approved,2026-08-04,,,Approved; capacity not disclosed.,FurtherAfrica,https://furtherafrica.com/2026/08/04/equinix-wins-approval-for-major-cape-town-data-centre-campus/
Côte d'Ivoire sovereign data centre,Côte d'Ivoire,Government of Côte d'Ivoire,,170000000,,,,approved,2026-07-20,,,Government-approved sovereign facility.,Developing Telecoms,https://developingtelecoms.com/telecom-business/telecom-investment-mergers/20549-cote-divoire-approves-starlin
Cape Town hyperscale campus (two sites),South Africa,Undisclosed,,,,,,appeal_pending,2026-07-14,,Planning approval legally suspended pending appeal; no immediate development plan reported.,"No confirmed IT capacity is published. The earlier 174 MW figure described electricity demand, not installed or declared IT capacity; the July land-use approval was legally suspended after an appeal, and Equinix reported no immediate development plans (20 September 2026).",Daily Maverick,https://www.dailymaverick.co.za/article/2026-09-20-data-centre-deal-cape-town-forced-back-to-the-drawing-board/
