country,country_iso3,share_exposed_pct,share_high_exposure_pct,task_universe,metric,method,source,source_url,source_file,evidence_status,temporal_status,captured_at,note
South Africa,ZAF,51.0,11.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Tunisia,TUN,49.3,5.3,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
"Egypt, Arab Rep.",EGY,46.3,7.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Morocco,MAR,44.2,5.9,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Algeria,DZA,43.3,5.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Kenya,KEN,37.0,4.0,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Nigeria,NGA,33.3,2.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Libya,LBY,33.0,1.8,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Senegal,SEN,32.5,1.4,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
Zimbabwe,ZWE,31.3,1.5,18797,"Share of tasks at exposure levels 2 or 3, labelled under that country's conditions (the paper's 'economically exposed share')",Quoted from the paper: 'the economically exposed share means the share of tasks at levels 2 or 3'. Tasks are relabelled per country by their classification pipeline; the task universe is the same size for every country.,"Garg, Crosta and Baier, Global Automation Atlas (2026), country panel from the replication repository",https://arxiv.org/abs/2605.17086,country_map_panel.csv,academic,modelled,2026-09-22,"Not employment-weighted and not a share of jobs: the denominator is a common task universe, so variation across countries reflects country-conditioned labelling, not the size of each country's exposed workforce."
