country,country_iso3,exposure_index,basis,metric,method,source,source_url,source_table,observations,evidence_status,temporal_status,captured_at,note
Mauritius,MUS,0.289,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Somalia,SOM,0.259,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Egypt,EGY,0.254,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Eswatini,SWZ,0.244,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Niger,NER,0.241,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Côte d'Ivoire,CIV,0.240,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Tunisia,TUN,0.236,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Togo,TGO,0.235,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Gambia,GMB,0.234,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Sao Tome and Principe,STP,0.230,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Botswana,BWA,0.228,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Guinea,GIN,0.227,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Benin,BEN,0.227,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Malawi,MWI,0.223,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Ghana,GHA,0.220,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Cabo Verde,CPV,0.220,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Sudan,SDN,0.213,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Angola,AGO,0.206,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Sierra Leone,SLE,0.205,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Mali,MLI,0.200,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
Kenya,KEN,0.199,"one basis: 2-digit ISCO-08 employment, ILO exposure scores","Employment-share-weighted average exposure of the occupational structure (index, 0-1)","Authors' definition, quoted: 'the employment-share-weighted average exposure of a country's occupational structure'","Garg, Crosta and Baier, The Jagged Global Economy: Frontier AI Unevenly Exposes National Economies (2026)",https://arxiv.org/abs/2607.05404,Table 4,"ILO employment, most recent annual observation to April 2026 (mostly 2024-2025)",academic,modelled,2026-09-22,"Third-party modelled estimate, not an observed count. In our dataset's ten countries only Kenya, Ghana, Egypt, Ethiopia, Rwanda and Cote d'Ivoire appear; Nigeria, South Africa, Morocco and Senegal are not in the source's baseline sample."
