headline,source,date,url
"Only four countries lead global AI adoption by 20%, muting hiring in tech and services: Goldman Sachs",Times of Oman,Sep 20,https://timesofoman.com/article/177144-only-four-countries-lead-global-ai-adoption-by-20-muting-hiring-in-tech-and-services-goldman-sachs
"Fear of AI job loss outweighs AI job creation excitement, study finds",Euronews,Sep 19,https://www.euronews.com/next/2026/09/19/fear-of-ai-job-losses-now-outweighs-hope-of-new-jobs-study-finds
Kenya's next export boom may be online as WTO predicts AI could reshape global trade,People Daily,Sep 19,https://peopledaily.digital/business/kenyas-next-export-boom-may-be-online-as-wto-predicts-ai-could-reshape-global-trade
Arthur Goldstuck: African banks teach Amazon Web Services about AI,Business Day,Sep 19,https://www.businessday.co.za/business-times/opinion/2026-09-19-arthur-goldstuck-african-banks-teach-aws-about-ai/
Kenya Plans to Expand BPO and GBS Opportunities Beyond Nairobi,TechAfrica News,Sep 18,https://techafricanews.com/2026/09/18/kenya-plans-expand-bpo-gbs-opportunities-beyond-nairobi/
"AI in Creative Industries: Artist Ally, Enemy or Somewhere In-Between?",iAfrica,Sep 18,https://iafrica.com/ai-in-creative-industries-artist-ally-enemy-or-somewhere-in-between/
"Nigeria to Train 32,000 Citizens in AI and Cybersecurity via New Academy",Ecofin Agency,Sep 17,https://www.ecofinagency.com/news-services/1709-58988-nigeria-to-train-32-000-citizens-in-ai-and-cybersecurity-via-new-academy
"InteLogix Opens New Contact Centre in New Cairo, Egypt",TechAfrica News,Sep 17,https://techafricanews.com/2026/09/17/intelogix-opens-new-contact-centre-new-cairo-egypt/
"Korea, African Development Bank sign deal to launch joint AI Hub to support Africa",African Development Bank,Sep 17,https://www.afdb.org/en/news-and-events/press-releases/korea-african-development-bank-sign-deal-launch-joint-ai-hub-support-africa-96857
"Globally, More People Expect AI to Cause Job Loss Than Growth",Pew Research Center,Sep 17,https://www.pewresearch.org/global/2026/09/17/globally-more-people-expect-ai-to-cause-job-loss-than-growth/
Egypt Partners With Intel to Train 1 Million Citizens in AI Annually,TechAfrica News,Sep 16,https://techafricanews.com/2026/09/16/egypt-intel-train-one-million-citizens-ai-annually/
Execution-only BPOs face an AI squeeze: Asiatel CEO,Outsource Accelerator,Sep 16,https://news.outsourceaccelerator.com/execution-bpo-ai-squeeze/
CX workforce budgets take a hit as AI spend rises,Outsource Accelerator,Sep 16,https://news.outsourceaccelerator.com/cx-budgets-ai-spending/
South Africans voice growing concerns over AI's rapid rise,Africanews,Sep 16,https://www.africanews.com/2026/09/16/south-africans-voice-growing-concerns-over-ais-rapid-rise/
Prepared Or Unprepared? Evaluating Healthcare Workforce Readiness for Clinical Adoption of Artificial Intelligence in Nigeria,arXiv,Sep 16,https://arxiv.org/abs/2609.19096
"As 2040 Approaches, Should We Still Be Studying for Yesterday's Jobs?",Modern Ghana,Sep 13,https://www.modernghana.com/news/1527324/as-2040-approaches-should-we-still-be-studying.html
By 2034 a Robot in the US Will Undercut Kenyan Garment Workers. That Is the Clock Africa's Industrial Strategy Is Running Against,iAfrica,Sep 13,https://iafrica.com/by-2034-a-robot-in-the-us-will-undercut-kenyan-garment-workers-that-is-the-clock-africas-industrial-strategy-is-running-against/
Namibia's NOVA Trains AI Technicians Around a Blunt Statistic: Nine Million African Graduates a Year With Nowhere to Go,iAfrica,Sep 12,https://iafrica.com/namibias-nova-trains-ai-technicians-around-a-blunt-statistic-nine-million-african-graduates-a-year-with-nowhere-to-go/
"AI is changing work faster than education can adapt, Africa may offer a different model",Disrupt Africa,Sep 11,https://disruptafrica.com/2026/09/11/ai-is-changing-work-faster-than-education-can-adapt-africa-may-offer-a-different-model/
"Nigeria Must Convert AI Investments Into Jobs, Local Technologies - Experts",Leadership,Sep 11,https://leadership.ng/nigeria-must-convert-ai-investments-into-jobs-local-technologies-experts/
Data capture: How US tech giants are building the AI future without Africa,The Africa Report,Sep 10,https://www.theafricareport.com/430326/data-capture-how-us-tech-giants-are-building-the-ai-future-without-africa/
"South Africa's AI Paradox: Best Prepared, Most Exposed",IOL,Sep 10,https://iol.co.za/news/brics/2026-09-10-south-africas-ai-paradox-best-prepared-most-exposed/
Egypt Targets $8bn Outsourcing Exports as Digital Services Push Accelerates,TechAfrica News,Sep 9,https://techafricanews.com/2026/09/09/egypt-8bn-outsourcing-exports-digital-services/
How AI Is Reshaping Employment and Skills Development Across Africa,iAfrica,Sep 9,https://iafrica.com/how-ai-is-reshaping-employment-and-skills-development-across-africa/
'Automation Can Inherit a Gender': Letsike Sets Out Three Frontiers of the AI Divide,iAfrica,Sep 9,https://iafrica.com/automation-can-inherit-a-gender-letsike-sets-out-three-frontiers-of-the-ai-divide/
Kenya: Remote Work 2.0 - Can Kenya Become Africa's Digital Services Hub?,allAfrica,Sep 8,https://allafrica.com/stories/202609080096.html
"Inside Nairobi's AI Shock: What Happens After AI Wipes Out A 40,000-Worker Economy?",TechRound,Sep 7,https://techround.co.uk/artificial-intelligence/inside-nairobis-ai-shock-what-happens-after-ai-wipes-out-a-40000-worker-economy/
"Generative AI Displaces Outsourcing Workers, Reshaping Industry",Chosun Daily,Sep 7,https://www.chosun.com/english/industry-en/2026/09/07/D6YS5J6V3FELVDTYW2AFHREAFI/
Africa's AI Productivity Push Needs a Talent-Pipeline Strategy,Africa Business,Sep 7,https://africabusiness.com/2026/09/07/africa-ai-productivity-talent-pipeline-strategy/
AI and the Shrinking Career Ladder: Africa's New Employment Reality,Daily Trust,Sep 7,https://dailytrust.com/ai-and-the-shrinking-career-ladder-africas-new-employment-reality/
"Jamaica's BPO sector sheds 12,000 jobs in two years: opinion",Outsource Accelerator,Sep 7,https://news.outsourceaccelerator.com/jamaica-bpo-sheds-jobs/
AI and the Shrinking Workplace: Workers' New Reality,Business Post Nigeria,Sep 7,https://businesspost.ng/featureoped/ai-and-the-shrinking-workplace-workers-new-reality/
Kenyans Made a Living Writing College Essays. Then A.I. Arrived.,The New York Times,Sep 5,https://www.nytimes.com/2026/09/05/technology/kenya-college-essays-ai.html
AI is making South Africa's call centers pricier,Outsource Accelerator,Sep 4,https://news.outsourceaccelerator.com/sa-ai-call-centers-cost/
AI Isn't Coming for Our Jobs. It's Coming for Our Wages.,Jacobin,Aug 30,https://jacobin.com/2026/08/ai-job-loss-wages-capital
South Africa's AI Readiness Puts It in a League of Its Own,IOL,Aug 27,https://iol.co.za/news/brics/2026-08-27-south-africas-ai-readiness-puts-it-in-a-league-of-its-own/
From Producing to Validating: How AI Is Deskilling Freelancers,arXiv,Aug 26,https://arxiv.org/abs/2608.26089
Bill Gates proposes 'Human Reserved' jobs and a tax on AI,The Next Web,Aug 26,https://thenextweb.com/news/bill-gates-human-reserved-jobs-ai
UNCTAD: AI-driven Automation May Affect 40% of Global Jobs as Market Hits $4.8tn by 2033,THISDAYLIVE,Aug 26,https://www.thisdaylive.com/2026/08/26/unctad-ai-driven-automation-may-affect-40-of-global-jobs-as-market-hits-4-8tn-by-2033/
"The World Is Looking for Digital Workers, and Africa Is Next",HiPipo Money,Aug 22,https://www.money.hipipo.com/2026/08/22/the-world-is-looking-for-digital-workers-and-africa-is-next/
South Africa's Unemployment Rate Climbs to 33.6% in Q2 2026,Rio Times,Aug 20,https://www.riotimesonline.com/south-africa-unemployment-rises-336-q2-2026/
CentaurBench: Benchmarking LLM Capabilities on Augmenting vs. Automating Real-World Work Tasks,arXiv,Aug 19,https://arxiv.org/abs/2608.18554
AI is Making Call Centres More Expensive - Not Cheaper,TechEconomy,Aug 19,https://techeconomy.ng/ai-is-making-call-centres-more-expensive-not-cheaper
Kenya: 'Jobs Will Be Lost' - Thigo Urges Kenyans to Adapt to AI Revolution,allAfrica,Aug 17,https://allafrica.com/stories/202608170255.html
AI disruption: 9m Nigerian jobs may disappear by 2030 –Experts,The Sun Nigeria,Aug 17,https://thesun.ng/ai-disruption-9m-nigerian-jobs-may-disappear-by-2030-experts/
Stranded credentials: how a skill-signaling market absorbed generative AI,arXiv,Aug 17,https://arxiv.org/abs/2608.17111
"AI Will Take Some Jobs - but Create 78 Million More, Kenya's Tech Envoy Forecasts",AllAfrica (Capital FM),Aug 17,https://allafrica.com/stories/202608170191.html
"Global youth unemployment rises to 67 million, ILO warns",Capital Ethiopia,Aug 16,https://capitalethiopia.com/2026/08/16/global-youth-unemployment-rises-to-67-million-ilo-warns/
Oracle plans fresh August layoffs as its AI spending spree bites,TNW,Aug 13,https://thenextweb.com/news/oracle-august-2026-layoffs-ai-capex
Kenya and AWS deepen partnership to build globally competitive digital talent,TechAfrica News,Aug 13,https://techafricanews.com/2026/08/13/kenya-and-aws-deepen-partnership-to-build-globally-competitive-digital-talent/
