country_iso3,country_source_name,group,indicator_code,indicator,value,unit,observation_year,status,originating_source,source_url,api_query_url,world_bank_last_updated,retrieved_at,note
AGO,Angola,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),40.70479965,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/AGO/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
BDI,Burundi,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),8.595999718,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/BDI/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
BEN,Benin,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),33.98379898,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/BEN/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
BFA,Burkina Faso,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),28.25270081,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/BFA/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
BWA,Botswana,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),57.45950036,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/BWA/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
CAF,Central African Republic,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),13.78250027,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/CAF/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
CIV,Cote d'Ivoire,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),41.43219902,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/CIV/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
CMR,Cameroon,Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),46.25880051,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/CMR/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
COD,"Congo, Dem. Rep.",Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),19.67350006,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/COD/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
COG,"Congo, Rep.",Connectivity,IT.NET.USER.ZS,Individuals using the Internet (% of population),47.25159836,% of population,2024,reported,"International Telecommunication Union (ITU), World Telecommunication/ICT Indicators Database",https://api.worldbank.org/v2/country/COG/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=100,https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&mrnev=1&per_page=20000,2026-07-13,2026-09-25,Latest non-empty annual observation returned by the World Bank API; observation year shown separately.
