country_iso3,country_name,indicator,indicator_name,status,year,gni_per_capita_atlas_usd,api_last_updated,source_url,source_name,api_query_url,source_page_url,captured_at,notes
AGO,Angola,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2860,2026-07-13,https://api.worldbank.org/v2/country/AGO/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
BDI,Burundi,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,240,2026-07-13,https://api.worldbank.org/v2/country/BDI/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
BEN,Benin,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1600,2026-07-13,https://api.worldbank.org/v2/country/BEN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
BFA,Burkina Faso,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,980,2026-07-13,https://api.worldbank.org/v2/country/BFA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
BWA,Botswana,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,7390,2026-07-13,https://api.worldbank.org/v2/country/BWA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
CAF,Central African Republic,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,560,2026-07-13,https://api.worldbank.org/v2/country/CAF/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
CIV,Cote d'Ivoire,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2780,2026-07-13,https://api.worldbank.org/v2/country/CIV/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
CMR,Cameroon,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1860,2026-07-13,https://api.worldbank.org/v2/country/CMR/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
COD,"Congo, Dem. Rep.",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,720,2026-07-13,https://api.worldbank.org/v2/country/COD/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
COG,"Congo, Rep.",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2280,2026-07-13,https://api.worldbank.org/v2/country/COG/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
COM,Comoros,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1950,2026-07-13,https://api.worldbank.org/v2/country/COM/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
CPV,Cabo Verde,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,5590,2026-07-13,https://api.worldbank.org/v2/country/CPV/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
