title,authors,paper_date,date_label,source,url,venue,source_type,topic,bucket,country,abstract,comment,why_it_matters,evidence_status,captured_at
Africa Can Grow Faster With AI—If It Moves Now,,,Jul 21,IMF,https://www.imf.org/en/news/articles/2026/07/21/cf-africa-can-grow-faster-with-ai-if-it-moves-now,INSTITUTIONAL,INSTITUTIONAL,Access and affordability,access,,,,,academic,2026-09-22
Africa Declares AI a Strategic Priority,,,May 25,African Union Commission,https://au.int/en/pressreleases/20250517/africa-declares-ai-strategic-priority-investment-inclusion-and-innovation,INSTITUTIONAL,INSTITUTIONAL,Infrastructure and compute,infra,,,,,academic,2026-09-22
Africa pushes for data sovereignty and digital independence,,,May 11,Africa Renewal (UN),https://africarenewal.un.org/en/magazine/africa-pushes-data-sovereignty-and-digital-independence,INSTITUTIONAL,INSTITUTIONAL,Policy and regulation,infra,,,,,academic,2026-09-22
Africa's Compute Capacity for AI,,,2025,GSMA,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/blog/bridging-the-new-digital-divide-how-africa-can-boost-its-compute-capacity-for-ai/,INSTITUTIONAL,INSTITUTIONAL,Data centres and compute,infra,,,,,academic,2026-09-22
"Data Centres in Africa 2026: The Economic Report — 0.6% of global capacity, 360 MW active",,,Mar 28,African Data Centres Association,https://africadca.org/en/data-centres-in-africa-2026-the-economic-report,INSTITUTIONAL,INSTITUTIONAL,Data centres and compute,infra,,,,,academic,2026-09-22
GSMA and PDAA Unveil Roadmap to Close Africa's Mobile Internet Usage Gap and Connect One Billion People by 2030,,,Sep 21,GSMA,https://www.gsma.com/newsroom/press-release/gsma-and-pdaa-unveil-roadmap-to-close-africas-mobile-internet-usage-gap-and-connect-one-billion-people-by-2030/,INSTITUTIONAL,INSTITUTIONAL,Policy and regulation,access,,,,,academic,2026-09-22
GSMA warns of emerging global AI divide as three billion people remain offline and smartphone component costs soar,,,Sep 15,GSMA,https://www.gsma.com/newsroom/press-release/gsma-warns-of-emerging-global-ai-divide-as-three-billion-people-remain-offline-and-smartphone-component-costs-soar/,INSTITUTIONAL,INSTITUTIONAL,Policy and regulation,access,,,,,academic,2026-09-22
"Korea, African Development Bank sign deal to launch joint AI Hub to support Africa",,,Sep 17,African Development Bank,https://www.afdb.org/en/news-and-events/press-releases/korea-african-development-bank-sign-deal-launch-joint-ai-hub-support-africa-96857,INSTITUTIONAL,INSTITUTIONAL,Employment and outsourcing,jobs,,,,,academic,2026-09-22
World Bank Digital Progress & Trends Report 2025: AI Foundations,,,2025,World Bank,https://www.worldbank.org/en/publication/dptr2025-ai-foundations,INSTITUTIONAL,INSTITUTIONAL,Infrastructure and compute,infra,,,,,academic,2026-09-22
Beyond Benchmarks: The Economics of AI Inference,Boqin Zhuang; Jiacheng Qiao; Mingqian Liu; Mingxing Yu; Ping Hong; Rui Li,2025-10-30,Jul 7,arXiv:2510.26136,https://arxiv.org/abs/2510.26136,PREPRINT,ACADEMIC,Models and capability,access,,"The inference cost of Large Language Models (LLMs) has become a critical factor in determining their commercial viability and widespread adoption. This paper introduces a quantitative ``economics of inference'' framework, treating the LLM inference process as a compute-driven intelligent production activity. We analyze its marginal cost, economies of scale, and quality of output under various performance configurations. Based on empirical data from WiNEval-3.0, we construct the first ``LLM Inference Production Frontier,'' revealing three principles: diminishing marginal cost, diminishing returns to scale, and an optimal cost-effectiveness zone. This paper not only provides an economic basis for model deployment decisions but also lays an empirical foundation for the future market-based pricing and optimization of AI inference resources.",,,academic,2026-09-22
